hablante,destinatario,emisión,linea,path
CHI,ADULT,0 .,14,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,15,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,22,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,23,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,24,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,25,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,26,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,32,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,37,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,38,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,44,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,52,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,62,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,63,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,70,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,71,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,72,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,73,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,74,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,93,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
MOT,CHI,&=besa .,99,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,113,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,114,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,115,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,120,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,121,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,140,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,148,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,158,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,163,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,164,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,165,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,170,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,171,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,176,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,177,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,204,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,217,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,222,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,247,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,252,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,257,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,258,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,267,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,268,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,269,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,275,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,276,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,285,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,293,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,294,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,322,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,327,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,328,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,348,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,349,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,350,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,359,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,364,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,365,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,371,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,372,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,377,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,378,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,383,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,388,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,389,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,398,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,403,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,408,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,409,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,421,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,422,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,423,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,426,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,427,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,432,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,433,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,439,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,454,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,455,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,456,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,486,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,487,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,488,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,489,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,490,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
