hablante,destinatario,emisión,linea,path
FA1,CHI,xxx . ,40,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,CHI,xxx . ,42,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,CHI,xxx . ,82,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,UNKNOWN,xxx . ,84,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,ADULT,right . ,145,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,CHI,&=laughs . ,149,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,CHI,&=laughs . ,151,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,CHI,&=laughs . ,155,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,CHI,&=laughs . ,157,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,ADULT,okay . ,178,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
MA1,CHI,xxx . ,262,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,ADULT,&=laughs . ,278,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,ADULT,&=laughs . ,284,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,ADULT,&=laughs . ,290,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
MA1,CHI,xxx . ,296,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
MA1,CHI,xxx . ,310,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,CHI,&=laughs . ,334,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,CHI,&=laughs . ,336,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,CHI,&=laughs . ,338,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,CHI,&=laughs . ,340,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,CHI,&=laughs . ,342,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,CHI,&=laughs . ,344,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,ADULT,xxx . ,432,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
MA1,CHI,&aumph . ,438,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
MA1,CHI,&aumph . ,440,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,UNKNOWN,xxx . ,442,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
MA1,UNKNOWN,xxx . ,448,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
MA1,ADULT,xxx . ,450,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,CHI,&=laughs . ,452,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,CHI,xxx . ,454,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
MA1,ADULT,xxx . ,456,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,BOTH,xxx . ,482,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,ADULT,xxx . ,498,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,ADULT,xxx . ,507,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,ADULT,xxx . ,509,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,ADULT,right ? ,511,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,ADULT,xxx . ,515,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,ADULT,xxx . ,517,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,ADULT,xxx . ,519,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,ADULT,xxx . ,527,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,ADULT,xxx . ,529,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA2,ADULT,xxx . ,531,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
MA1,UNKNOWN,&=puffs . ,613,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
MA1,UNKNOWN,&=puffs . ,615,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
MA1,UNKNOWN,&=puffs . ,617,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
FA1,ADULT,xxx . ,657,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
EE1,OTHER,<xxx> [=! sings] . ,753,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
EE1,OTHER,xxx . ,953,/home/macramole/Code/ciipme/aclew/highVolFromGit/allCHA/eng/4889.elan.cha
